Model,CV_Accuracy_Mean,CV_Accuracy_Std,Test_Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted
K-Nearest Neighbours,0.9233096826198258,0.0045795851555133615,0.9166360631656262,0.9174092603022151,0.9166360631656262,0.9168048079580466
Decision Tree,0.9008081820417395,0.003462412533734485,0.8942343004039662,0.8942448481633611,0.8942343004039662,0.8941461003842525
Random Forest,0.9239521789068703,0.00527600793741407,0.9206757253029747,0.9208576443288373,0.9206757253029747,0.9206504710179503
SVM (RBF),0.933596161219663,0.005261852152931193,0.9243481454278369,0.9243200439610855,0.9243481454278369,0.9242952775176317
Logistic Regression,0.9244118640786283,0.0036409218020808966,0.9206757253029747,0.9215328435004574,0.9206757253029747,0.9208728071055451
Naive Bayes,0.8970428804687793,0.0026890916129431483,0.8979067205288285,0.9007023749849569,0.8979067205288285,0.8980754820999807
